,"3rd ORDINARY ELECTIONS TO GREATER HYDERABAD MUNICIPAL CORPORATION, 2016",,,,,,,

"Ward Name : KAPRA , Ward No:1, Reserved for : SC(G) , Total Votes : 44213 ,
Polled Votes : 19282 , Invalid Votes : 0, Valid Votes : 19282",,,,,,,,

"C. Sl.
No.",,Sl. No.,Name of the Contesting Candidate,"Party
Affiliatio
n","Votes
Secured","Elected/
Defeated",,
1,,1,Kurunelli Venkat,CPM,250,Defeated,,
2,,2,Radapaka Rajaiah,BSP,84,Defeated,,
3,,3,K V L N Rao,TDP,5083,Defeated,,
4,,4,S Swarna Raj,TRS,10112,Winner,,
5,,5,Kukatla Rama Rao,IND,721,Defeated,,
6,,6,Gajjela Ramesh Kumar,IND,45,Defeated,,
7,,7,Gaddam Kistaiah,IND,24,Defeated,,
8,,8,Munigadapa Sree Ramulu,IND,10,Defeated,,
9,,9,Radhika Thamas,IND,32,Defeated,,
10,,10,Venugopala Rao Kandregula,IND,729,Defeated,,
11,,11,G Indraiah,INC,2192,Defeated,,
"Ward Name : DR. A.S RAO NAGAR , Ward No:2, Reserved for : UR(W) , Total Votes :
48201 ,",,,,,,,,
12,,1,B Pavithra,BSP,297,Defeated,,
13,,2,Shirisha Reddy Singireddy,INC,3896,Defeated,,
14,,3,Tateneni Samrajyam,TDP,6621,Defeated,,
15,,4,Pajjuri Pavani Reddy,TRS,7987,Winner,,
16,,5,Venkataravamma Borra,LSP,264,Defeated,,
17,,6,Indira Reddy Madduri,IND,180,Defeated,,
18,,7,Royyala Laharika,IND,111,Defeated,,
19,,8,Sangeetha Variganti,IND,752,Defeated,,
"Ward Name : CHERLAPALLY, Reserved for : BC(G), Total Votes : 45160,
Polled Votes : 24768 , Invalid Votes :0, Valid Votes : 24768",,,,,,,,
20,,1,Bonthu Rammohan,TRS,13462,Winner,,
21,,2,Ch Mallesh Vamsha Raj,TDP,3294,Defeated,,
22,,3,Ganesh M,BJP,5593,Defeated,,
23,,4,Mahesh N,INC,1871,Defeated,,
24,,5,Nagamani Kambhampati,LSP,190,Defeated,,
25,,6,Dr S Laxminarayana,TYSP,9,Defeated,,
26,,7,Kasula Surender Goud,IND,5,Defeated,,
27,,8,Bairamkonda Vijay,IND,24,Defeated,,
28,,9,Ramchandar Goud Rudragoni,IND,18,Defeated,,
29,,10,M Srinivas,IND,128,Defeated,,
30,,11,B Saibaba Yadav,IND,45,Defeated,,
31,,12,Somaraj P,IND,129,Defeated,,
"Ward Name : MEERPET HB COLONY , Reserved for : SC(G) , Total Votes : 45695 ,
Polled Votes : 21991 , Invalid Votes :0, Valid Votes : 21991",,,,,,,,
32,,1,Anumula Dinesh,BJP,6611,Defeated,,
33,,2,Golluri Anjaiah,TRS,12319,Winner,,
34,,3,Deshmukula Praveen,CPM,222,Defeated,,

,"3rd ORDINARY ELECTIONS TO GREATER HYDERABAD MUNICIPAL CORPORATION, 2016",,,,,,,

35,,4,Polepaka Anjaiah,INC,2502,Defeated,,

36,,5,Dasari Sudhir Kumar,IND,55,Defeated,,
37,,6,Bangari Pochaiah,IND,186,Defeated,,
38,,7,Ch Suresh,IND,96,Defeated,,
